cell_type,gene_id,gene_name,gene_description,,,,,,,,,,,
Columella,AT3G29810,COBL3,"The COBL3 (COBRA-Like 3) gene encodes a glycosylphosphatidylinositol-anchored protein involved in the regulation of cell wall biosynthesis and organization. COBL3 is implicated in the control of cell expansion and the proper formation of cellulose microfibrils in the cell wall, playing a role in various aspects of plant growth and development.",,,,,,,,,,,
Columella,AT5G48300,APS1,"The APS1 (ADENOSINE 5'-PHOSPHOSULFATE REDUCTASE 1) gene encodes an enzyme involved in the biosynthesis of cysteine and methionine, two essential sulfur-containing amino acids. APS1 is implicated in the regulation of sulfate assimilation and the biosynthesis of sulfur-containing compounds in plants.",,,,,,,,,,,
Columella,AT5G64860,DPE1,"The DPE1 (Disproportionating Enzyme 1) gene encodes an enzyme involved in the metabolism of starch, a major storage carbohydrate in plants. DPE1 is implicated in the regulation of starch degradation, playing a role in various aspects of plant growth and development, such as carbon allocation and energy production.",,,,,,,,,,,
Columella,AT3G44240,CAF1-8,The CAF1-8 (Chromatin Assembly Factor 1-8) gene encodes a protein involved in chromatin assembly and the regulation of gene expression. CAF1-8 is implicated in the control of various aspects of plant growth and development through the modulation of chromatin structure and gene expression.,,,,,,,,,,,
Columella,AT3G62320,AT3G62320,,,,,,,,,,,,
Columella,AT5G48130,AT5G48130,,,,,,,,,,,,
Columella,AT1G04600,XI-A,"XI-A: The XI-A (Xyloglucan endotransglucosylase/hydrolase Inhibitor-A) gene encodes a protein that inhibits the activity of xyloglucan endotransglucosylase/hydrolase (XTH) enzymes. These enzymes are involved in the remodeling of the plant cell wall by cleaving and rejoining xyloglucan polymers, which are crucial components of the cell wall structure. XI-A plays a role in modulating cell wall dynamics during plant growth and development.",,,,,,,,,,,
Columella,AT5G58580,ATL63,"The ATL63 (Arabidopsis Tóxicos en Levadura 63) gene encodes a RING-H2 finger E3 ubiquitin ligase protein involved in the regulation of various aspects of plant growth, development, and stress responses. E3 ubiquitin ligases play a crucial role in the ubiquitin-proteasome system, which is responsible for the degradation of specific target proteins. The specific function of ATL63 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Columella,AT4G09960,AGL11,"The AGL11 (AGAMOUS-Like 11) gene encodes a MADS-box transcription factor involved in the regulation of various aspects of plant growth and development, particularly in the control of flowering time and floral organ development. In Arabidopsis thaliana, AGL11 is specifically involved in the specification of ovule identity and the proper development of the female reproductive structures.",,,,,,,,,,,
Columella,AT1G69830,AMY3,"The AMY3 (Alpha-Amylase 3) gene encodes an enzyme involved in the degradation of starch, a major storage carbohydrate in plants. AMY3 is implicated in the regulation of starch degradation, playing a role in various aspects of plant growth and development, such as carbon allocation and energy production.",,,,,,,,,,,
Columella,AT3G28540,AT3G28540,,,,,,,,,,,,
Columella,AT1G26870,FEZ,"The FEZ (Fasciclin-like Arabinogalactan Protein 8) gene encodes a cell surface protein involved in the regulation of cell adhesion and communication. In Arabidopsis thaliana, FEZ plays a role in the proper orientation of cell division planes during root development.",,,,,,,,,,,
Columella,AT3G62320,AT3G62320,,,,,,,,,,,,
Columella,AT3G10600,CAT7,"The CAT7 (Catalase 7) gene encodes an enzyme involved in the breakdown of hydrogen peroxide, a reactive oxygen species produced during various cellular processes. CAT7 plays a role in the detoxification of hydrogen peroxide and the regulation of oxidative stress responses in plants.",,,,,,,,,,,
Columella,AT1G17400,LZY2 ,"The LZY2 (Lazaro 2) gene encodes a membrane-associated protein involved in the regulation of auxin transport and distribution, which is crucial for various aspects of plant growth and development. In Arabidopsis thaliana, LZY2 is specifically implicated in the control of shoot gravitropism.",,,,,,,,,,,
Columella,AT1G19115,LZY3 ,"The LZY3 (Lazaro 3) gene encodes a membrane-associated protein involved in the regulation of auxin transport and distribution, similar to LZY2. In Arabidopsis thaliana, LZY3 is also implicated in the control of shoot gravitropism.",,,,,,,,,,,
Cortex,AT1G05570,CALS1,"The CALS1 (Callose Synthase 1) gene encodes an enzyme involved in the synthesis of callose, a β-1,3-glucan polymer, which plays a role in cell plate formation during cell division and in plant defense responses.",,,,,,,,,,,
Cortex,AT1G15460,BOR4,"The BOR4 (Borate Transporter 4) gene encodes a boron efflux transporter involved in boron homeostasis, which is essential for proper cell wall structure and plant development.",,,,,,,,,,,
Cortex,AT1G62510,AT1G62510,,,,,,,,,,,,
Cortex,AT3G12700,AT3G12700,,,,,,,,,,,,
Cortex,AT3G14850,TBL41,"The TBL41 (Trichome Birefringence-Like 41) gene encodes a protein involved in cell wall biogenesis and modification, potentially affecting cell wall structure and plant growth.",,,,,,,,,,,
Cortex,AT5G03570,IREG2,"The IREG2 (Iron-Regulated Transporter 2) gene encodes a protein involved in iron transport and homeostasis, which is crucial for plant growth and development, as well as for chlorophyll synthesis and photosynthesis.",,,,,,,,,,,
Cortex,AT5G44130,FLA13,"The FLA13 (Fasciclin-Like Arabinogalactan Protein 13) gene encodes a cell surface glycoprotein that may be involved in cell-cell communication, cell adhesion, and plant development.",,,,,,,,,,,
Cortex,AT5G53370,PME61,"The PME61 (Pectin Methylesterase 61) gene encodes an enzyme involved in the modification of pectin, a major component of the plant cell wall, which plays a role in cell wall flexibility and plant growth.",,,,,,,,,,,
Cortex,AT5G55250,IAMT1,"The IAMT1 (Indole-3-Acetic Acid Methyltransferase 1) gene encodes an enzyme that catalyzes the methylation of the plant hormone auxin (indole-3-acetic acid), which plays a role in modulating auxin signaling and transport, thus affecting plant growth and development.",,,,,,,,,,,
Cortex,AT1G64380,ERF061,"The ERF061 (Ethylene Response Factor 061) gene encodes a transcription factor involved in the ethylene signaling pathway, which regulates various aspects of plant growth, development, and stress responses.",,,,,,,,,,,
Cortex,AT5G48000,CYP708A2,"The CYP708A2 (Cytochrome P450 708A2) gene encodes an enzyme involved in the biosynthesis of secondary metabolites, which can have roles in plant defense, signaling, and development",,,,,,,,,,,
Cortex,AT3G21670,NPF6.4,The NPF6.4 (Nitrate Transporter 1/Peptide Transporter Family 6.4) gene encodes a nitrate transporter involved in nitrate uptake and distribution within the plant. Nitrate is an essential nutrient for plant growth and development.,,,,,,,,,,,
Cortex,AT1G30380,PSAK,"The PSAK (Photosystem I Subunit K) gene encodes a protein subunit of Photosystem I, which is involved in the light-dependent reactions of photosynthesis, converting light energy into chemical energy for plant growth.",,,,,,,,,,,
Cortex,AT1G52410,TSA1,"The TSA1 (Thiosulfate Sulfurtransferase 1) gene encodes an enzyme involved in the metabolism of sulfur-containing compounds. Sulfur is an essential nutrient for plant growth and development and plays a role in the synthesis of various biomolecules, such as amino acids and cofactors.",,,,,,,,,,,
Cortex,AT3G26300,CYP71B34,"The CYP71B34 (Cytochrome P450 71B34) gene encodes an enzyme involved in the biosynthesis of secondary metabolites, which can have roles in plant defense, signaling, and development.",,,,,,,,,,,
Cortex,AT4G00700,AT4G00700,,,,,,,,,,,,
Cortex,AT3G56080,AT3G56080,,,,,,,,,,,,
Cortex,AT5G27350,SFP1,"The SFP1 (S-Phase Kinase-Associated Protein 1) gene encodes a protein involved in the regulation of cell cycle progression, particularly in the transition from G1 to S phase, playing a crucial role in plant growth and development.",,,,,,,,,,,
Cortex,AT2G32540,CSLB4,"The CSLB4 (Cellulose Synthase-Like B4) gene is part of the cellulose synthase-like gene family involved in the synthesis of non-cellulosic polysaccharides, such as hemicelluloses or pectins, which contribute to the cell wall structure and plant development.",,,,,,,,,,,
Cortex,AT1G62500,AT1G62500,,,,,,,,,,,,
Cortex,AT1G09750,AED3,"The AED3 (ABA-Insensitive Early Dehydration-Responsive 3) gene encodes a protein involved in the response to abscisic acid (ABA), a plant hormone that plays a role in seed dormancy, germination, and stress responses, particularly during dehydration.",,,,,,,,,,,
Cortex,AT1G62500,CO2,"The CO2 (Carbonic Anhydrase 2) gene encodes an enzyme involved in the interconversion of CO2 and bicarbonate, playing a role in photosynthesis, respiration, and pH regulation in plant cells.",,,,,,,,,,,
Cortex,AT5G07990,CYP75B1,"The CYP75B1 (Cytochrome P450 75B1) gene encodes an enzyme involved in flavonoid biosynthesis, specifically in the hydroxylation of flavonoids, which are secondary metabolites with roles in plant defense, signaling, and pigmentation.",,,,,,,,,,,
Dividing_cells,AT1G08560,KN,"The KN (KNOTTED1-LIKE HOMEOBOX) gene encodes a homeobox transcription factor involved in the regulation of various aspects of plant growth and development, particularly meristem function and organ development. In Arabidopsis thaliana, KN plays a crucial role in the proper development of the shoot apical meristem and the formation of lateral organs.",,,,,,,,,,,
Dividing_cells,AT1G76540,CDKB2-1,"The CDKB2-1 (Cyclin-Dependent Kinase B2-1) gene encodes a protein kinase involved in the regulation of the cell cycle, specifically controlling the transition from G2 to M phase. In Arabidopsis thaliana, CDKB2-1 plays a role in the regulation of cell division, growth, and development.",,,,,,,,,,,
Dividing_cells,AT1G44110,CYCA1-1,"The CYCA1-1 (Cyclin A1-1) gene encodes a cyclin protein involved in the regulation of the cell cycle. Cyclin A1-1 interacts with cyclin-dependent kinases to control the progression through the cell cycle, particularly the S phase and G2/M transition. In Arabidopsis thaliana, CYCA1-1 plays a role in the regulation of cell division, growth, and development.",,,,,,,,,,,
Dividing_cells,AT4G37490,CYCB1-1,"The CYCB1-1 (Cyclin B1-1) gene encodes a cyclin protein involved in the regulation of the cell cycle. Cyclin B1-1 interacts with cyclin-dependent kinases to control the progression through the cell cycle, particularly the G2/M transition. In Arabidopsis thaliana, CYCB1-1 plays a role in the regulation of cell division, growth, and development.",,,,,,,,,,,
Dividing_cells,AT2G17620,CYCB2-1,"THE CYCB2-1 (Cyclin B2-1) gene encodes a cyclin protein similar to CYCB1-1. In Arabidopsis thaliana, CYCB2-1 is also involved in the regulation of the cell cycle, particularly the G2/M transition, and plays a role in cell division, growth, and development.",,,,,,,,,,,
Endodermis,AT1G30750,AT1G30750,,,,,,,,,,,,
Endodermis,AT1G60690,AT1G60690,,,,,,,,,,,,
Endodermis,AT1G61590,AT1G61590,,,,,,,,,,,,
Endodermis,AT1G71740,AT1G71740,,,,,,,,,,,,
Endodermis,AT2G21100,DIR23,"The DIR23 (Dirigent Protein 23) gene encodes a protein involved in the control of lignin biosynthesis, which is a major component of the plant cell wall, providing mechanical strength and rigidity.",,,,,,,,,,,
Endodermis,AT2G27370,CASP3,"The CASP3 (Casparian Strip Membrane Domain Protein 3) gene encodes a protein involved in the formation of the Casparian strip, a structure in the root endodermis that provides a barrier for apoplastic transport and helps regulate nutrient uptake.",,,,,,,,,,,
Endodermis,AT2G30210,LAC3,"The LAC3 (Laccase 3) gene encodes an enzyme involved in the oxidation of phenolic compounds and the polymerization of monolignols, contributing to lignin formation and cell wall structure.",,,,,,,,,,,
Endodermis,AT2G39430,DIR9,"The DIR9 (Dirigent Protein 9) gene encodes a protein involved in the control of lignin biosynthesis, impacting cell wall structure and mechanical properties.",,,,,,,,,,,
Endodermis,AT2G40160,TBL30,"The TBL30 (Trichome Birefringence-Like 30) gene encodes a protein involved in cell wall biogenesis and modification, potentially affecting cell wall structure and plant growth.",,,,,,,,,,,
Endodermis,AT2G48130,AT2G48130,,,,,,,,,,,,
Endodermis,AT3G11550,CASP2,"The CASP2 (Casparian Strip Membrane Domain Protein 2) gene encodes a protein involved in the formation of the Casparian strip in the root endodermis, helping to regulate nutrient uptake and prevent uncontrolled apoplastic transport.",,,,,,,,,,,
Endodermis,AT3G22620,AT3G22620,,,,,,,,,,,,
Endodermis,AT4G02090,AT4G02090,,,,,,,,,,,,
Endodermis,AT4G17215,AT4G17215,,,,,,,,,,,,
Endodermis,AT5G06200,CASP4,"The CASP4 (Casparian Strip Membrane Domain Protein 4) gene encodes a protein involved in the formation of the Casparian strip in the root endodermis, playing a role in the regulation of nutrient uptake and apoplastic transport.",,,,,,,,,,,
Endodermis,AT5G42180,PER64,"The PER64 (Peroxidase 64) gene encodes a peroxidase enzyme involved in various physiological processes, such as cell wall modification, defense against pathogens, and the regulation of reactive oxygen species.",,,,,,,,,,,
Endodermis,AT5G66390,PER72,"The PER72 (Peroxidase 72) gene encodes a peroxidase enzyme involved in various physiological processes, such as cell wall modification, defense against pathogens, and the regulation of reactive oxygen species.",,,,,,,,,,,
Endodermis,AT1G01120,KCS1,"The KCS1 (3-Ketoacyl-CoA Synthase 1) gene encodes an enzyme involved in the fatty acid elongation pathway, which is essential for the synthesis of very-long-chain fatty acids (VLCFAs). VLCFAs are important components of plant cuticles, waxes, and membrane lipids, contributing to various aspects of plant growth, development, and stress responses.",,,,,,,,,,,
Endodermis,AT2G14900,GASA7,"The GASA7 (Gibberellic Acid-Stimulated Arabidopsis 7) gene encodes a small peptide that is involved in the gibberellic acid signaling pathway, playing a role in various aspects of plant growth and development, such as cell elongation and seed germination.",,,,,,,,,,,
Endodermis,AT1G07730,DIR25,"The DIR25 (Dirigent Protein 25) gene encodes a protein involved in the control of lignin biosynthesis, impacting cell wall structure and mechanical properties.",,,,,,,,,,,
Endodermis,AT2G48130,AT2G48130,,,,,,,,,,,,
Endodermis,AT3G45260,IDD9,The IDD9 (Iron Deficiency-Induced 9) gene encodes a zinc-finger transcription factor that is involved in the regulation of iron homeostasis and the response to iron deficiency in plants.,,,,,,,,,,,
Endodermis,AT1G61590,PBL15,The PBL15 (PBS1-Like 15) gene encodes a protein kinase involved in signaling pathways that regulate plant immune responses and resistance to pathogens.,,,,,,,,,,,
Endodermis,AT5G57620,MYB36,"The MYB36 (MYB Domain Protein 36) gene encodes a transcription factor that is involved in the regulation of root endodermal cell differentiation and the formation of the Casparian strip, which is crucial for nutrient uptake and apoplastic transport.",,,,,,,,,,,
Endodermis,AT2G31730,BHLH154,"The BHLH154 (Basic Helix-Loop-Helix 154) gene encodes a transcription factor that is involved in various cellular processes, such as regulation of gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Endodermis,AT5G06200,CASP4,"The CASP4 (Casparian Strip Membrane Domain Protein 4) gene encodes a protein involved in the formation of the Casparian strip in the root endodermis, playing a role in the regulation of nutrient uptake and apoplastic transport.",,,,,,,,,,,
Endodermis,AT3G54220,SCR,"The SCR (SCARECROW) gene encodes a transcription factor that plays a critical role in the regulation of root development, particularly in radial patterning and the maintenance of the root stem cell niche.",,,,,,,,,,,
Endodermis,AT4G28100,EN7,"The EN7 (ENHANCER 7) gene encodes a protein involved in the regulation of gene expression and plant development, although its specific function is not well-characterized.",,,,,,,,,,,
Endodermis,AT5G45210,AT5G45210,,,,,,,,,,,,
Epidermis,AT5G14750,WER,"The WER (WEREWOLF) gene encodes a MYB transcription factor involved in root hair cell differentiation in Arabidopsis thaliana, controlling root epidermal cell fate and patterning.",,,,,,,,,,,
Epidermis,AT2G46410,CPC,"The CPC (CAPRICE) gene encodes a R3-type MYB transcription factor involved in the regulation of root hair development in Arabidopsis thaliana, controlling epidermal cell differentiation.",,,,,,,,,,,
Initials,AT3G60390,HAT3,The HAT3 (Homeodomain-Containing Arabidopsis thaliana 3) gene encodes a homeobox transcription factor involved in the regulation of various aspects of plant growth and development. The specific function of HAT3 in Arabidopsis thaliana is not well-characterized.,,,,,,,,,,,
Initials,AT3G56070,CYP19-3,"The CYP19-3 (Cytochrome P450 Family 19 Subfamily 3) gene encodes a cytochrome P450 enzyme involved in the biosynthesis of various secondary metabolites and the regulation of various aspects of plant growth, development, and stress responses. The specific function of CYP19-3 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Initials,AT5G10400,H3.1,The H3.1 (Histone H3.1) gene encodes a core histone protein involved in the formation of nucleosomes and the packaging of DNA into chromatin. H3.1 plays a crucial role in the regulation of gene expression and various aspects of plant growth and development.,,,,,,,,,,,
Initials,AT2G27250,CLV3,"The CLV3 (Clavata 3) gene encodes a small signaling peptide involved in the regulation of meristem development and the maintenance of stem cell populations. In Arabidopsis thaliana, CLV3 is specifically implicated in the control of the shoot apical meristem size and the proper development of floral organs.",,,,,,,,,,,
LRC,AT1G33280,BRN1,The BRN1 (Boundary of Root Cap and Nodulation 1) gene encodes a protein involved in the regulation of root cap development and differentiation. BRN1 is required for the proper formation of the boundary between the root cap and the underlying tissue layers in Arabidopsis thaliana.,,,,,,,,,,,
LRC,AT4G10350,BRN2,"The BRN2 (Boundary of Root Cap and Nodulation 2) gene encodes a protein involved in the regulation of root cap development and differentiation. Like BRN1, BRN2 is required for the proper formation of the boundary between the root cap and the underlying tissue layers in Arabidopsis thaliana.",,,,,,,,,,,
LRC,AT1G79580,SMB,"The SMB (Short Root/Scarecrow-like/Mini-Brain) gene encodes a transcription factor involved in the regulation of root growth and development, particularly in the maintenance and differentiation of root stem cells and the root meristem. SMB is essential for the proper formation of the quiescent center in the root, which is crucial for the maintenance of the root stem cell niche.",,,,,,,,,,,
LRC,AT2G32610,CSLB01,,,,,,,,,,,,
LRC,AT4G37160,sks15,"The sks15 (Shikimate Kinase 15) gene encodes an enzyme involved in the shikimate pathway, which is responsible for the biosynthesis of aromatic amino acids and various secondary metabolites in plants. The specific function of sks15 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
LRC,AT3G55930,AT3G55930,,,,,,,,,,,,
LRC,AT5G36880,ACS,"The ACS (1-Aminocyclopropane-1-Carboxylate Synthase) gene encodes an enzyme involved in the biosynthesis of ethylene, a gaseous plant hormone that regulates various aspects of plant growth and development, such as fruit ripening, leaf senescence, and responses to biotic and abiotic stresses. ACS is responsible for the rate-limiting step in ethylene biosynthesis",,,,,,,,,,,
LRC,AT1G54010,GLL23,"The GLL23 (Glyoxalase 23) gene encodes an enzyme belonging to the glyoxalase family, which is involved in the detoxification of methylglyoxal, a toxic byproduct of various metabolic processes. GLL23 is implicated in the regulation of cellular detoxification and stress responses in plants.",,,,,,,,,,,
LRC,AT1G14220,AT1G14220,,,,,,,,,,,,
Metaphloem,AT1G61760,SEMA2,The SEMA2 (Semaphorin 2) gene encodes a membrane-associated protein involved in cell-to-cell communication and the regulation of various aspects of plant growth and development. The specific function of SEMA2 in Arabidopsis thaliana is not well-characterized.,,,,,,,,,,,
Metaxylem,AT1G80100,AHP6,"The AHP6 (Arabidopsis Histidine Phosphotransfer Protein 6) gene encodes a protein involved in cytokinin signaling, which is a hormone that regulates various aspects of plant growth and development, such as cell division, differentiation, and organogenesis. AHP6 acts as a negative regulator of cytokinin signaling, inhibiting the formation of vascular tissues.",,,,,,,,,,,
Metaxylem,AT4G37650,SHR,"The SHR (Short-Root) gene encodes a transcription factor belonging to the GRAS family. It plays a crucial role in the radial patterning of the root, specifically in the development and maintenance of the root stem cell niche and the specification of the endodermis and cortex cell layers.",,,,,,,,,,,
Metaxylem,AT1G29950,BHLH144,"The BHLH144 (Basic Helix-Loop-Helix 144) gene encodes a transcription factor involved in various cellular processes, such as regulation of gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Metaxylem,AT4G02750,PCMP-H24,"There was not a lot of research to be found regarding this gene in Arabidopsis Thaliana but according to : ""Identification of key genes associated with secondary metabolites biosynthesis by system network analysis in Valeriana officinalis"" The article showed that several novel hub genes, such as PCMP-H24, RPS24B, ANX1 and PXL1, may play crucial roles in metabolic pathways. ",,,,,,,,,,,
